,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[250],-0.006,0.015,-0.036,0.021,0.0,0.0,6093.0,3043.0,1.0
beta[251],-0.002,0.015,-0.031,0.024,0.0,0.0,6705.0,2995.0,1.0
beta[252],0.003,0.015,-0.025,0.029,0.0,0.0,5468.0,3374.0,1.0
beta[253],-0.0,0.014,-0.028,0.026,0.0,0.0,7292.0,2780.0,1.0
beta[254],0.0,0.015,-0.028,0.028,0.0,0.0,6322.0,3067.0,1.0
beta[255],-0.004,0.014,-0.031,0.022,0.0,0.0,6872.0,2891.0,1.0
beta[256],-0.002,0.015,-0.029,0.028,0.0,0.0,6700.0,3387.0,1.0
beta[257],-0.0,0.015,-0.031,0.025,0.0,0.0,5599.0,2862.0,1.0
beta[258],0.0,0.014,-0.027,0.027,0.0,0.0,5588.0,2849.0,1.0
beta[259],-0.011,0.015,-0.04,0.016,0.0,0.0,4847.0,2780.0,1.0
beta[260],-0.005,0.014,-0.031,0.023,0.0,0.0,5510.0,2755.0,1.01
beta[261],-0.001,0.015,-0.031,0.027,0.0,0.0,5890.0,3141.0,1.0
beta[262],-0.004,0.015,-0.03,0.023,0.0,0.0,5544.0,2640.0,1.0
beta[263],0.002,0.015,-0.026,0.029,0.0,0.0,6810.0,2629.0,1.0
beta[264],-0.004,0.014,-0.03,0.025,0.0,0.0,4978.0,2968.0,1.0
beta[265],0.004,0.015,-0.023,0.033,0.0,0.0,6158.0,3169.0,1.0
beta[266],-0.005,0.015,-0.032,0.022,0.0,0.0,5667.0,2997.0,1.0
beta[267],0.006,0.015,-0.02,0.035,0.0,0.0,5809.0,2815.0,1.0
beta[268],0.008,0.015,-0.02,0.035,0.0,0.0,6655.0,3230.0,1.0
beta[269],0.002,0.014,-0.026,0.027,0.0,0.0,5138.0,2696.0,1.0
beta[270],0.001,0.015,-0.027,0.031,0.0,0.0,5886.0,2879.0,1.0
beta[271],0.008,0.015,-0.02,0.036,0.0,0.0,6076.0,3138.0,1.0
beta[272],0.005,0.015,-0.022,0.033,0.0,0.0,5609.0,2541.0,1.0
beta[273],-0.009,0.014,-0.035,0.019,0.0,0.0,4845.0,3326.0,1.0
beta[274],-0.001,0.015,-0.027,0.027,0.0,0.0,5475.0,2584.0,1.0
beta[275],0.001,0.015,-0.027,0.029,0.0,0.0,7003.0,3008.0,1.0
beta[276],-0.0,0.015,-0.029,0.026,0.0,0.0,5599.0,3103.0,1.0
beta[277],-0.0,0.014,-0.026,0.027,0.0,0.0,5941.0,3094.0,1.0
beta[278],0.007,0.014,-0.018,0.035,0.0,0.0,5836.0,3389.0,1.0
beta[279],-0.009,0.014,-0.036,0.017,0.0,0.0,4463.0,2227.0,1.0
beta[280],0.002,0.015,-0.025,0.03,0.0,0.0,5524.0,3440.0,1.0
beta[281],0.015,0.015,-0.012,0.042,0.0,0.0,6024.0,3112.0,1.0
beta[282],0.017,0.015,-0.012,0.045,0.0,0.0,6336.0,2935.0,1.0
beta[283],-0.003,0.015,-0.032,0.024,0.0,0.0,5048.0,2844.0,1.0
beta[284],-0.003,0.015,-0.029,0.026,0.0,0.0,5971.0,3033.0,1.0
beta[285],0.01,0.015,-0.016,0.037,0.0,0.0,5643.0,2847.0,1.0
beta[286],0.0,0.014,-0.026,0.028,0.0,0.0,5563.0,3230.0,1.0
beta[287],0.008,0.015,-0.02,0.036,0.0,0.0,5799.0,2867.0,1.0
beta[288],0.009,0.015,-0.021,0.037,0.0,0.0,5779.0,2514.0,1.0
beta[289],-0.007,0.015,-0.034,0.02,0.0,0.0,6323.0,2992.0,1.0
beta[290],-0.003,0.014,-0.03,0.024,0.0,0.0,4380.0,2582.0,1.0
beta[291],0.003,0.014,-0.022,0.031,0.0,0.0,6263.0,2842.0,1.0
beta[292],-0.002,0.014,-0.029,0.024,0.0,0.0,5467.0,2719.0,1.0
beta[293],0.006,0.015,-0.023,0.033,0.0,0.0,5796.0,3003.0,1.0
beta[294],-0.002,0.014,-0.03,0.024,0.0,0.0,5798.0,2827.0,1.0
beta[295],0.003,0.015,-0.023,0.032,0.0,0.0,5418.0,3096.0,1.0
beta[296],0.002,0.015,-0.028,0.028,0.0,0.0,6711.0,3050.0,1.0
beta[297],-0.0,0.014,-0.027,0.026,0.0,0.0,5302.0,3016.0,1.0
beta[298],0.006,0.015,-0.022,0.035,0.0,0.0,5365.0,3248.0,1.0
beta[299],0.018,0.015,-0.008,0.046,0.0,0.0,5209.0,2771.0,1.0
beta[300],-0.0,0.014,-0.028,0.026,0.0,0.0,5940.0,3307.0,1.0
beta[301],-0.012,0.015,-0.039,0.018,0.0,0.0,5658.0,2812.0,1.0
beta[302],0.005,0.015,-0.023,0.031,0.0,0.0,5926.0,2583.0,1.0
beta[303],0.001,0.014,-0.025,0.029,0.0,0.0,5577.0,3381.0,1.0
beta[304],-0.006,0.015,-0.034,0.025,0.0,0.0,5250.0,2711.0,1.0
beta[305],-0.001,0.015,-0.028,0.026,0.0,0.0,5159.0,3149.0,1.0
beta[306],0.001,0.015,-0.028,0.029,0.0,0.0,5508.0,3295.0,1.0
beta[307],0.001,0.015,-0.028,0.028,0.0,0.0,5081.0,2884.0,1.0
beta[308],0.003,0.015,-0.024,0.033,0.0,0.0,5979.0,2925.0,1.0
beta[309],-0.003,0.015,-0.03,0.025,0.0,0.0,5580.0,3087.0,1.0
beta[310],0.008,0.015,-0.02,0.037,0.0,0.0,6596.0,3161.0,1.0
beta[311],-0.001,0.015,-0.029,0.027,0.0,0.0,5491.0,3004.0,1.0
beta[312],-0.0,0.015,-0.028,0.029,0.0,0.0,6019.0,2576.0,1.0
beta[313],0.001,0.015,-0.028,0.03,0.0,0.0,4988.0,2659.0,1.0
beta[314],0.001,0.015,-0.028,0.029,0.0,0.0,5122.0,3046.0,1.0
beta[315],-0.002,0.015,-0.029,0.026,0.0,0.0,6919.0,3083.0,1.0
beta[316],-0.0,0.015,-0.028,0.027,0.0,0.0,6321.0,2536.0,1.0
beta[317],-0.004,0.015,-0.03,0.026,0.0,0.0,5739.0,2967.0,1.0
beta[318],0.002,0.014,-0.024,0.03,0.0,0.0,6862.0,2609.0,1.0
beta[319],-0.001,0.015,-0.029,0.027,0.0,0.0,6055.0,2813.0,1.0
beta[320],-0.002,0.015,-0.031,0.024,0.0,0.0,5485.0,2797.0,1.0
beta[321],0.006,0.015,-0.022,0.035,0.0,0.0,5780.0,3079.0,1.0
beta[322],0.0,0.015,-0.028,0.027,0.0,0.0,6204.0,3104.0,1.0
beta[323],0.002,0.015,-0.026,0.029,0.0,0.0,5828.0,3161.0,1.0
beta[324],-0.001,0.015,-0.028,0.028,0.0,0.0,6052.0,2726.0,1.0
beta[325],0.003,0.015,-0.025,0.03,0.0,0.0,6364.0,3212.0,1.0
beta[326],0.0,0.014,-0.027,0.028,0.0,0.0,5824.0,3162.0,1.0
beta[327],-0.004,0.015,-0.033,0.022,0.0,0.0,5767.0,3352.0,1.0
beta[328],-0.001,0.014,-0.028,0.024,0.0,0.0,5811.0,2746.0,1.0
beta[329],-0.009,0.015,-0.035,0.02,0.0,0.0,5804.0,3170.0,1.0
beta[330],0.003,0.015,-0.025,0.03,0.0,0.0,5534.0,2816.0,1.0
beta[331],-0.0,0.014,-0.028,0.027,0.0,0.0,5797.0,3085.0,1.0
beta[332],0.001,0.015,-0.026,0.029,0.0,0.0,5842.0,3043.0,1.0
beta[333],-0.002,0.015,-0.028,0.03,0.0,0.0,6409.0,2999.0,1.0
beta[334],-0.006,0.015,-0.034,0.022,0.0,0.0,5435.0,3108.0,1.0
beta[335],-0.006,0.014,-0.033,0.022,0.0,0.0,5909.0,2913.0,1.0
beta[336],-0.001,0.015,-0.029,0.025,0.0,0.0,6391.0,3137.0,1.0
beta[337],0.003,0.015,-0.025,0.031,0.0,0.0,6791.0,3242.0,1.0
beta[338],-0.004,0.015,-0.032,0.023,0.0,0.0,5963.0,2546.0,1.0
beta[339],0.004,0.015,-0.024,0.032,0.0,0.0,5559.0,2466.0,1.0
beta[340],0.004,0.015,-0.024,0.033,0.0,0.0,6362.0,3123.0,1.0
beta[341],-0.007,0.015,-0.035,0.023,0.0,0.0,5834.0,3039.0,1.0
beta[342],-0.002,0.015,-0.031,0.024,0.0,0.0,6238.0,2633.0,1.0
beta[343],-0.003,0.014,-0.031,0.023,0.0,0.0,5896.0,3119.0,1.0
beta[344],0.002,0.015,-0.025,0.029,0.0,0.0,5303.0,3020.0,1.0
beta[345],0.01,0.015,-0.018,0.037,0.0,0.0,6384.0,3272.0,1.0
beta[346],0.011,0.015,-0.016,0.039,0.0,0.0,5758.0,2779.0,1.0
beta[347],0.004,0.014,-0.022,0.032,0.0,0.0,4946.0,3109.0,1.0
beta[348],0.001,0.015,-0.028,0.028,0.0,0.0,6270.0,2746.0,1.0
beta[349],0.008,0.015,-0.021,0.036,0.0,0.0,5606.0,2900.0,1.0
beta[350],0.003,0.015,-0.024,0.031,0.0,0.0,7163.0,2970.0,1.0
beta[351],0.006,0.015,-0.02,0.036,0.0,0.0,5644.0,3137.0,1.0
beta[352],-0.005,0.015,-0.032,0.022,0.0,0.0,5347.0,3143.0,1.0
beta[353],0.004,0.015,-0.023,0.032,0.0,0.0,5620.0,3209.0,1.0
beta[354],-0.001,0.015,-0.029,0.027,0.0,0.0,5269.0,2992.0,1.0
beta[355],-0.001,0.015,-0.03,0.028,0.0,0.0,6638.0,2916.0,1.0
beta[356],0.008,0.014,-0.017,0.037,0.0,0.0,5930.0,3065.0,1.0
beta[357],0.003,0.015,-0.024,0.032,0.0,0.0,5312.0,3301.0,1.0
beta[358],0.007,0.015,-0.022,0.035,0.0,0.0,7269.0,3133.0,1.0
beta[359],0.006,0.015,-0.022,0.033,0.0,0.0,7677.0,3163.0,1.0
beta[360],0.0,0.015,-0.026,0.029,0.0,0.0,6316.0,2984.0,1.0
beta[361],-0.002,0.015,-0.03,0.026,0.0,0.0,5532.0,2755.0,1.0
beta[362],-0.007,0.014,-0.035,0.019,0.0,0.0,6326.0,2779.0,1.0
beta[363],0.006,0.015,-0.023,0.034,0.0,0.0,5610.0,3188.0,1.0
beta[364],0.003,0.014,-0.023,0.032,0.0,0.0,5653.0,3293.0,1.0
beta[365],0.007,0.015,-0.021,0.033,0.0,0.0,5749.0,3241.0,1.0
beta[366],-0.009,0.015,-0.036,0.019,0.0,0.0,5740.0,3044.0,1.0
beta[367],0.007,0.015,-0.02,0.035,0.0,0.0,5749.0,2932.0,1.0
beta[368],-0.005,0.014,-0.033,0.021,0.0,0.0,5965.0,3100.0,1.0
beta[369],-0.012,0.015,-0.039,0.017,0.0,0.0,7416.0,3194.0,1.0
beta[370],0.001,0.014,-0.025,0.028,0.0,0.0,6945.0,3001.0,1.0
